title,author_name,rating,ratings,year
Heartstopper: Volume Four,Alice Oseman,4.67,227360,2021
It Starts with Us,Colleen Hoover,4.64,3988,2022
Heartstopper: Volume Three,Alice Oseman,4.63,273686,2020
Kingdom of Ash,Sarah J. Maas,4.62,261600,2018
Crooked Kingdom,Leigh Bardugo,4.61,477098,2016
Heartstopper: Volume Two,Alice Oseman,4.6,316062,2019
Queen of Shadows,Sarah J. Maas,4.56,412140,2015
Empire of Storms,Sarah J. Maas,4.56,343879,2016
Acheron,Sherrilyn Kenyon,4.56,58019,2008
Heartstopper: Volume One,Alice Oseman,4.53,430677,2018
Reminders of Him,Colleen Hoover,4.52,523841,2022
House of Sky and Breath,Sarah J. Maas,4.52,151116,2022
Wildfire,Ilona Andrews,4.5,34237,2017
Redeeming Love,Francine Rivers,4.5,273997,1991
House of Earth and Blood,Sarah J. Maas,4.48,312233,2020
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.47,1520986,2017
White Hot,Ilona Andrews,4.47,38726,2017
Heir of Fire,Sarah J. Maas,4.46,473089,2014
Ignite Me,Tahereh Mafi,4.45,262482,2014
The House in the Cerulean Sea,T.J. Klune,4.45,358972,2020
Kiss of Snow,Nalini Singh,4.45,30080,2011
Lover Awakened,J.R. Ward,4.44,173335,2006
Lord of Shadows,Cassandra Clare,4.44,129104,2017
A Court of Wings and Ruin,Sarah J. Maas,4.43,655054,2017
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,4.43,224628,2020
An Echo in the Bone,Diana Gabaldon,4.43,139381,2009
A Breath of Snow and Ashes,Diana Gabaldon,4.43,163691,2005
Clockwork Prince,Cassandra Clare,4.43,515519,2011
Winter,Marissa Meyer,4.43,245936,2015
Demon from the Dark,Kresley Cole,4.43,46053,2010
Kings Rising,C.S. Pacat,4.43,49858,2016
Full Tilt,Emma   Scott,4.42,21057,2016
Cress,Marissa Meyer,4.42,332040,2014
A ​Court of Silver Flames,Sarah J. Maas,4.41,380727,2021
Reckless,S.C. Stephens,4.41,77124,2013
Beard Science,Penny Reid,4.41,31256,2016
Lady Luck,Kristen Ashley,4.41,38174,2011
Part of Your World,Abby Jimenez,4.41,54863,2022
Magic Slays,Ilona Andrews,4.4,70852,2011
Lover Mine,J.R. Ward,4.39,109537,2010
Motorcycle Man,Kristen Ashley,4.39,55492,2012
Dreamfever,Karen Marie Moning,4.38,98363,2009
Lothaire,Kresley Cole,4.38,44918,2012
Voyager,Diana Gabaldon,4.38,286958,1993
It Ends with Us,Colleen Hoover,4.38,1641804,2016
The Song of Achilles,Madeline Miller,4.38,950167,2011
Silver Borne,Patricia Briggs,4.38,102351,2010
Sweet Dreams,Kristen Ashley,4.38,47278,2011
Lady Midnight,Cassandra Clare,4.37,209164,2016
Pleasure of a Dark Prince,Kresley Cole,4.37,43345,2010
The Queen of Nothing,Holly Black,4.37,396096,2019
The Prince and the Dressmaker,Jen Wang,4.37,87981,2018
Lore Olympus: Volume One,Rachel  Smythe,4.37,66132,2021
Dance with the Devil,Sherrilyn Kenyon,4.37,64073,2003
Last Sacrifice,Richelle Mead,4.37,275495,2010
Crown of Midnight,Sarah J. Maas,4.36,554931,2013
Wolfsong,T.J. Klune,4.36,41622,2016
Lover Avenged,J.R. Ward,4.36,111849,2009
The King,J.R. Ward,4.36,52334,2014
The Indigo Spell,Richelle Mead,4.36,99921,2013
Heart Bones,Colleen Hoover,4.35,224754,2020
All Rhodes Lead Here,Mariana Zapata,4.35,70129,2021
Effortless,S.C. Stephens,4.35,115071,2011
Opposition,Jennifer L. Armentrout,4.35,78823,2014
