title,author_name,rating,ratings,year
It Starts with Us,Colleen Hoover,4.64,3988,2022
Crooked Kingdom,Leigh Bardugo,4.61,477098,2016
Wildfire,Ilona Andrews,4.5,34237,2017
White Hot,Ilona Andrews,4.47,38726,2017
Motorcycle Man,Kristen Ashley,4.39,55492,2012
The Song of Achilles,Madeline Miller,4.38,950167,2011
Dreamfever,Karen Marie Moning,4.38,98363,2009
Sweet Dreams,Kristen Ashley,4.38,47278,2011
The Prince and the Dressmaker,Jen Wang,4.37,87981,2018
Lore Olympus: Volume One,Rachel  Smythe,4.37,66132,2021
Dance with the Devil,Sherrilyn Kenyon,4.37,64073,2003
Wolfsong,T.J. Klune,4.36,41622,2016
Opposition,Jennifer L. Armentrout,4.35,78823,2014
Effortless,S.C. Stephens,4.35,115071,2011
Origin,Jennifer L. Armentrout,4.34,106214,2013
Wicked Deeds on a Winter's Night,Kresley Cole,4.34,53529,2007
The Assassin's Blade,Sarah J. Maas,4.33,255753,2014
Lover Reborn,J.R. Ward,4.33,80075,2012
Champion,Marie Lu,4.33,199846,2013
Felix Ever After,Kacen Callender,4.32,47296,2020
Destined for an Early Grave,Jeaniene Frost,4.32,83078,2009
Ransom,Julie Garwood,4.32,33842,1999
The Maddest Obsession,Danielle Lori,4.31,85902,2019
Before Jamaica Lane,Samantha Young,4.3,42069,2014
Law Man,Kristen Ashley,4.3,43965,2012
Kiss of the Highlander,Karen Marie Moning,4.3,41767,2001
Paradise,Judith McNaught,4.3,33238,1991
The Immortal Highlander,Karen Marie Moning,4.3,35973,2004
The Risk,S.T. Abby,4.29,73865,2016
Things We Never Got Over,Lucy Score,4.29,175869,2022
Lead,Kylie Scott,4.28,47155,2014
No Rest for the Wicked,Kresley Cole,4.27,56303,2006
Terms and Conditions,Lauren Asher,4.27,78931,2022
The Dark Highlander,Karen Marie Moning,4.27,36922,2002
Managed,Kristen Callihan,4.26,31104,2016
Bloodfever,Karen Marie Moning,4.25,103842,2007
Illuminae,Amie Kaufman,4.25,141918,2015
Prodigy,Marie Lu,4.24,241293,2013
Twisted Perfection,Abbi Glines,4.23,66094,2013
Night Embrace,Sherrilyn Kenyon,4.23,58839,2003
Egomaniac,Vi Keeland,4.22,44747,2017
Forever Too Far,Abbi Glines,4.21,84454,2013
Before We Were Strangers,Renee Carlino,4.21,55835,2015
Down London Road,Samantha Young,4.21,52006,2013
Reason to Breathe,Rebecca    Donovan,4.21,90348,2011
Beauty and the Mustache,Penny Reid,4.21,27550,2014
White Hot Kiss,Jennifer L. Armentrout,4.2,71136,2014
Archangel's Kiss,Nalini Singh,4.2,55634,2010
I Wish You All the Best,Mason Deaver,4.2,35376,2019
The Book of Life,Deborah Harkness,4.19,171986,2014
Chesapeake Blue,Nora Roberts,4.19,33157,2002
Frederica,Georgette Heyer,4.19,20606,1965
